category,horizon,crps,picp_80,picp_50,mpiw_80,mpiw_50,ic,da,rmse,mae
distributional,15m,0.03330559183962509,0.0,0.0,0.00688965804874897,0.00313608068972826,,,,
distributional,30m,0.001444212665124759,0.1692771527318185,0.026104860651518492,0.007720664143562317,0.003151525743305683,,,,
distributional,60m,0.008692438968842508,0.0006618133686300463,0.0002941392749466873,0.0075520109385252,0.0034648748114705086,,,,
distributional,2h,0.012381429479830468,0.0026472534745201853,0.0010294874623134054,0.00652333814650774,0.0029411250725388527,,,,
distributional,4h,0.0043054795350256315,0.02956099713214207,0.01654533421575116,0.004866099916398525,0.002539707813411951,,,,
point,15m,,,,,,0.0010816451714638197,0.5170233105375395,0.07021095603704453,0.07016172260046005
point,30m,,,,,,-0.005967675447455174,0.518494006912273,0.004878606181591749,0.004468817729502916
point,60m,,,,,,-0.001384402301500083,0.5288624163541437,0.021346397697925568,0.021156536415219307
point,2h,,,,,,-0.022627037862284434,0.5363629678652843,0.027021804824471474,0.026678889989852905
point,4h,,,,,,-0.02595326425859039,0.5447459372012649,0.010872186161577702,0.00988698285073042
